date,code,name,board_code,board_name,prev_close,open,pct_chg,volume,amount,macd
2026-07-30,002199,东晶电子,881270,元件,13.39,13.26,6.35,33972048.0,486525230.0,0.0417
2026-07-30,002200,交投生态,881116,建筑装饰,6.52,6.57,-1.53,2785600.0,18245075.0,-0.0685
2026-07-30,002201,九鼎新材,881115,建筑材料,7.63,7.59,-1.57,15476898.0,117354560.0,-0.8889
2026-07-30,002202,金风科技,881280,风电设备,18.08,18.0,-0.39,82168361.0,1489225000.0,-1.2738
2026-07-30,002203,海亮股份,881168,工业金属,17.76,17.45,-2.87,50382407.0,852948890.0,-1.019
2026-07-30,002204,大连重工,881118,专用设备,5.37,5.36,0.93,25055809.0,135554540.0,-0.0538
2026-07-30,002205,国统股份,881115,建筑材料,9.65,9.65,-0.83,2320700.0,22434298.0,-0.4517
2026-07-30,002206,海 利 得,881264,化学纤维,5.33,5.32,-0.94,8378878.0,44524389.0,-0.0353
2026-07-30,002207,*ST准油,881107,油气开采及服务,5.66,5.71,-1.41,15477500.0,86820873.0,-0.4116
2026-07-30,002208,合肥城建,881153,房地产,11.88,11.62,-9.85,77388162.0,860270220.0,-1.6181
2026-07-30,002209,达 意 隆,881118,专用设备,10.66,10.65,-1.78,3479500.0,37045291.0,-0.2302
2026-07-30,002210,飞马国际,881181,环境治理,2.24,2.23,-1.79,60722184.0,135709220.0,-0.0425
2026-07-30,002211,ST宏达,881109,化学制品,3.96,3.99,-7.58,26383011.0,101042419.0,-0.0237
2026-07-30,002212,天融信,881272,软件开发,6.6,6.41,-4.7,146405360.0,929103160.0,-0.0084
2026-07-30,002213,大为股份,881121,半导体,26.75,26.29,-4.41,16155100.0,421998610.0,-2.591
2026-07-30,002214,*ST大立,881276,军工电子,13.26,13.27,-2.79,3730620.0,48905279.0,-0.5041
2026-07-30,002215,诺 普 信,881101,种植业与林业,9.11,9.11,2.31,22668501.0,211670630.0,-0.0191
